Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10785339,2,"Monday, August 19, 2013 02:57:15 UTC",58.5319,-155.1714,2.5,133.90,23,"Alaska Peninsula"
nc,72051921,3,"Monday, August 19, 2013 00:27:41 UTC",41.8020,-126.7927,3.2,5.00,13,"off the coast of Northern California"
us,b000j66f,8,"Sunday, August 18, 2013 23:53:31 UTC",33.2241,75.8579,4.8,45.10,93,"eastern Kashmir"
us,b000j65k,6,"Sunday, August 18, 2013 22:34:29 UTC",6.4004,124.7065,5.3,380.80,70,"Mindanao, Philippines"
us,b000j63u,6,"Sunday, August 18, 2013 21:27:01 UTC",-30.3899,-177.9827,5.2,65.30,40,"Kermadec Islands, New Zealand"
ak,10785229,3,"Sunday, August 18, 2013 21:19:26 UTC",56.8443,-152.8176,4.0,3.80,80,"Kodiak Island region, Alaska"
ak,10785223,2,"Sunday, August 18, 2013 21:15:24 UTC",61.5758,-146.6253,2.5,20.00,60,"Southern Alaska"
us,b000j62y,5,"Sunday, August 18, 2013 20:43:46 UTC",-15.1370,-173.0523,4.7,9.30,34,"Tonga"
us,b000j625,4,"Sunday, August 18, 2013 20:06:56 UTC",20.1487,143.9052,4.6,54.00,36,"Mariana Islands region"
ak,10785177,3,"Sunday, August 18, 2013 19:37:24 UTC",51.4519,-177.0495,2.8,30.90,18,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10785150,2,"Sunday, August 18, 2013 19:13:15 UTC",60.1803,-152.4882,2.5,89.20,75,"Southern Alaska"
ak,10785084,3,"Sunday, August 18, 2013 16:46:52 UTC",52.5143,-168.6879,2.8,41.20,10,"Fox Islands, Aleutian Islands, Alaska"
us,b000j5yk,6,"Sunday, August 18, 2013 16:38:08 UTC",31.7149,99.0073,4.8,39.60,98,"western Sichuan, China"
nc,72051756,3,"Sunday, August 18, 2013 16:32:22 UTC",38.7737,-122.7353,2.8,2.40,81,"Northern California"
us,b000j5xv,6,"Sunday, August 18, 2013 15:58:54 UTC",-17.7314,-178.6920,4.2,536.10,69,"Fiji region"
us,b000j5xi,4,"Sunday, August 18, 2013 15:25:24 UTC",-6.8244,130.1492,4.3,127.60,21,"Banda Sea"
us,b000j5x5,4,"Sunday, August 18, 2013 14:57:01 UTC",23.9306,122.5419,4.8,26.60,48,"Taiwan region"
us,b000j5wq,6,"Sunday, August 18, 2013 14:54:18 UTC",-0.8157,122.7353,4.8,21.90,27,"Sulawesi, Indonesia"
us,b000j5x1,4,"Sunday, August 18, 2013 14:49:43 UTC",-20.6978,-178.6931,4.4,573.70,112,"Fiji region"
ak,10785031,2,"Sunday, August 18, 2013 13:32:19 UTC",58.8377,-154.4816,3.0,122.00,75,"Alaska Peninsula"
us,b000j5vl,7,"Sunday, August 18, 2013 13:23:29 UTC",-18.5434,-177.9196,4.8,570.90,299,"Fiji region"
us,b000j5v9,5,"Sunday, August 18, 2013 12:35:17 UTC",-11.9986,165.4874,4.8,28.20,37,"Santa Cruz Islands"
us,b000j5v7,5,"Sunday, August 18, 2013 12:31:56 UTC",6.4559,-33.7308,4.6,10.70,90,"central Mid-Atlantic Ridge"
ak,10787020,2,"Sunday, August 18, 2013 10:12:10 UTC",52.8433,178.3855,2.7,25.00,12,"Rat Islands, Aleutian Islands, Alaska"
us,b000j5un,6,"Sunday, August 18, 2013 09:54:44 UTC",37.0752,71.2087,4.3,129.10,25,"Hindu Kush region, Afghanistan"
us,b000j5u8,8,"Sunday, August 18, 2013 08:25:45 UTC",50.0196,-177.5623,5.0,30.50,368,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j5te,8,"Sunday, August 18, 2013 05:35:19 UTC",38.0237,144.8314,4.7,10.30,106,"off the east coast of Honshu, Japan"
us,b000j5t6,5,"Sunday, August 18, 2013 04:42:57 UTC",11.3157,-86.6119,4.1,56.70,23,"near the coast of Nicaragua"
pr,13230000,0,"Sunday, August 18, 2013 04:02:08 UTC",18.1634,-67.0114,2.6,12.00,21,"Puerto Rico"
ak,10784893,2,"Sunday, August 18, 2013 02:08:58 UTC",52.1184,179.3497,2.5,35.60,12,"Rat Islands, Aleutian Islands, Alaska"
us,b000j5s3,6,"Sunday, August 18, 2013 01:21:42 UTC",36.6245,71.1698,4.1,210.70,17,"Hindu Kush region, Afghanistan"
us,b000j5ry,5,"Sunday, August 18, 2013 01:14:04 UTC",36.6611,71.3991,4.4,184.10,34,"Hindu Kush region, Afghanistan"
nc,72051511,3,"Sunday, August 18, 2013 00:50:29 UTC",39.2273,-120.4840,2.6,1.80,36,"Northern California"
ak,10786993,2,"Saturday, August 17, 2013 23:59:46 UTC",55.8438,-161.2873,2.8,165.50, 8,"Alaska Peninsula"
us,b000j5ra,7,"Saturday, August 17, 2013 23:45:41 UTC",12.8499,-87.3781,4.9,173.10,191,"near the coast of Nicaragua"
us,b000j5r1,A,"Saturday, August 17, 2013 23:01:03 UTC",33.3359,139.4304,4.9,34.80,150,"Izu Islands, Japan region"
ci,11352026,2,"Saturday, August 17, 2013 21:55:24 UTC",31.2398,-114.4123,3.2,10.00, 4,"Gulf of California"
us,b000j5pp,9,"Saturday, August 17, 2013 21:08:08 UTC",2.8179,128.4661,5.2,225.20,140,"Halmahera, Indonesia"
ak,10784825,2,"Saturday, August 17, 2013 20:39:31 UTC",65.8126,-151.8934,2.5,36.00,24,"northern Alaska"
us,b000j5p8,5,"Saturday, August 17, 2013 20:03:13 UTC",-22.9817,-66.2315,4.7,241.60,70,"Jujuy, Argentina"
us,b000j5p0,8,"Saturday, August 17, 2013 19:44:28 UTC",-41.7788,174.0632,4.3,14.00,33,"Cook Strait, New Zealand"
pr,13229004,0,"Saturday, August 17, 2013 19:16:26 UTC",19.3750,-67.1979,3.2,16.00,13,"Puerto Rico region"
us,b000j5n8,5,"Saturday, August 17, 2013 18:41:51 UTC",51.3194,-177.9435,4.5,50.70,61,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10784755,2,"Saturday, August 17, 2013 18:30:25 UTC",59.4754,-153.0020,2.7,94.50,86,"Southern Alaska"
us,b000j5nz,3,"Saturday, August 17, 2013 18:20:03 UTC",53.6312,-165.0735,2.5,22.60, 0,"Fox Islands, Aleutian Islands, Alaska"
us,b000j5ms,5,"Saturday, August 17, 2013 18:16:31 UTC",40.4095,29.1213,4.1,5.70, 0,"western Turkey"
us,b000j5mq,5,"Saturday, August 17, 2013 18:11:14 UTC",-21.2001,-68.7534,4.1,136.10,15,"Antofagasta, Chile"
ak,10784717,2,"Saturday, August 17, 2013 16:49:27 UTC",65.7901,-151.8727,3.1,24.00,33,"northern Alaska"
us,b000j5ki,7,"Saturday, August 17, 2013 16:32:31 UTC",-34.8838,54.0671,6.1,10.00,51,"Southwest Indian Ridge"
us,b000j5k7,6,"Saturday, August 17, 2013 16:07:52 UTC",-41.6980,174.0961,4.4,18.80,36,"Cook Strait, New Zealand"
nc,72051246,3,"Saturday, August 17, 2013 15:33:10 UTC",40.3555,-121.9237,2.8,5.50,30,"Northern California"
us,b000j5jw,4,"Saturday, August 17, 2013 14:51:33 UTC",5.1384,94.3198,4.6,72.40,24,"northern Sumatra, Indonesia"
us,b000j5jv,7,"Saturday, August 17, 2013 14:41:22 UTC",11.3174,93.5045,4.6,91.60,39,"Andaman Islands, India region"
us,b000j5jt,4,"Saturday, August 17, 2013 14:15:13 UTC",4.1055,128.1195,4.3,80.80,28,"north of Halmahera, Indonesia"
ak,10784659,3,"Saturday, August 17, 2013 13:38:38 UTC",51.5588,-178.4279,2.8,4.70,11,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j5j0,7,"Saturday, August 17, 2013 13:04:26 UTC",-25.3201,-179.9385,4.8,463.60,53,"south of the Fiji Islands"
us,b000j5ix,6,"Saturday, August 17, 2013 12:39:29 UTC",-41.7083,174.0517,4.2,13.30,26,"Cook Strait, New Zealand"
ak,10784629,3,"Saturday, August 17, 2013 12:37:19 UTC",50.6683,178.5529,3.1,27.00,12,"Rat Islands, Aleutian Islands, Alaska"
ak,10784615,2,"Saturday, August 17, 2013 12:04:35 UTC",54.8005,-159.8789,2.9,17.90,11,"south of Alaska"
us,b000j5iu,5,"Saturday, August 17, 2013 11:57:15 UTC",52.4348,173.2041,4.4,37.20,40,"Near Islands, Aleutian Islands, Alaska"
ak,10786429,2,"Saturday, August 17, 2013 11:23:30 UTC",50.2683,178.1888,3.3,25.00,10,"Rat Islands, Aleutian Islands, Alaska"
pr,13229002,0,"Saturday, August 17, 2013 11:12:28 UTC",18.0550,-68.0244,3.2,61.00,20,"Mona Passage, Puerto Rico"
us,b000j5iq,6,"Saturday, August 17, 2013 11:11:56 UTC",50.9698,178.4184,5.0,26.90,79,"Rat Islands, Aleutian Islands, Alaska"
us,b000j5il,5,"Saturday, August 17, 2013 10:59:13 UTC",51.0957,178.4752,4.5,35.20,92,"Rat Islands, Aleutian Islands, Alaska"
pr,13229001,0,"Saturday, August 17, 2013 10:46:22 UTC",18.0573,-68.2522,2.5,88.00, 4,"Dominican Republic region"
us,b000j5id,7,"Saturday, August 17, 2013 10:20:55 UTC",36.7374,141.7698,4.5,34.80,30,"near the east coast of Honshu, Japan"
us,b000j5i2,3,"Saturday, August 17, 2013 09:19:10 UTC",30.7763,-41.8257,4.6,10.10,134,"northern Mid-Atlantic Ridge"
us,b000j5ht,4,"Saturday, August 17, 2013 08:58:40 UTC",-41.7785,174.0822,5.1,18.50,48,"Cook Strait, New Zealand"
ak,10784542,2,"Saturday, August 17, 2013 08:18:36 UTC",60.1966,-153.0292,2.7,119.00,69,"Southern Alaska"
us,b000j5hl,6,"Saturday, August 17, 2013 08:13:36 UTC",-41.7887,173.9986,4.0,15.90, 0,"South Island of New Zealand"
us,b000j5hi,9,"Saturday, August 17, 2013 08:09:20 UTC",-41.9142,174.1182,4.1,10.80,31,"Cook Strait, New Zealand"
us,b000j5hf,8,"Saturday, August 17, 2013 07:53:03 UTC",-1.9760,139.0521,5.3,39.40,74,"near the north coast of Papua, Indonesia"
ak,10784512,3,"Saturday, August 17, 2013 06:38:30 UTC",51.4660,-178.5499,2.8,5.00,14,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j5gu,C,"Saturday, August 17, 2013 05:50:11 UTC",51.0654,178.6216,4.4,35.00,56,"Rat Islands, Aleutian Islands, Alaska"
us,b000j5gm,5,"Saturday, August 17, 2013 05:29:59 UTC",51.0600,178.5492,4.8,36.90,75,"Rat Islands, Aleutian Islands, Alaska"
us,b000j5ge,7,"Saturday, August 17, 2013 05:25:43 UTC",51.0718,178.4673,5.0,40.70,79,"Rat Islands, Aleutian Islands, Alaska"
us,b000j5g8,5,"Saturday, August 17, 2013 05:19:15 UTC",-41.7139,174.2912,4.4,21.50, 0,"Cook Strait, New Zealand"
ak,10784486,3,"Saturday, August 17, 2013 05:15:44 UTC",51.5664,-178.4278,2.8,2.80,14,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j5fr,7,"Saturday, August 17, 2013 04:24:07 UTC",5.2790,94.3673,5.2,56.00,58,"northern Sumatra, Indonesia"
ak,10784465,2,"Saturday, August 17, 2013 04:15:36 UTC",60.1630,-152.8448,2.7,113.40,56,"Southern Alaska"
us,b000j5fe,4,"Saturday, August 17, 2013 04:13:20 UTC",-41.8600,174.0500,4.7,10.00, 0,"Cook Strait, New Zealand"
ak,10784438,3,"Saturday, August 17, 2013 02:51:30 UTC",51.1708,-178.5769,3.0,22.90,16,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j5fb,5,"Saturday, August 17, 2013 02:45:48 UTC",-41.7443,173.9499,4.0,10.30,22,"South Island of New Zealand"
us,b000j5ed,5,"Saturday, August 17, 2013 00:20:02 UTC",-24.1005,179.9333,4.5,551.10,86,"south of the Fiji Islands"
us,b000j5e0,7,"Saturday, August 17, 2013 00:04:25 UTC",-20.8934,-173.8484,5.0,58.40,58,"Tonga"
us,b000j5df,8,"Friday, August 16, 2013 23:28:55 UTC",15.0791,-44.8787,4.9,10.00,266,"northern Mid-Atlantic Ridge"
ak,10784235,3,"Friday, August 16, 2013 22:55:44 UTC",67.7232,-141.0980,4.1,7.80,39,"northern Alaska"
us,b000j5bv,8,"Friday, August 16, 2013 22:20:51 UTC",42.9780,142.6927,4.6,125.00,54,"Hokkaido, Japan region"
us,b000j5bj,B,"Friday, August 16, 2013 22:17:31 UTC",-28.6071,-71.1655,5.4,41.70,182,"Atacama, Chile"
ak,10784195,3,"Friday, August 16, 2013 21:34:39 UTC",51.5909,-178.4153,3.5,6.60,19,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j59k,B,"Friday, August 16, 2013 21:12:18 UTC",50.8075,178.3030,4.9,22.00, 0,"Rat Islands, Aleutian Islands, Alaska"
us,b000j59l,6,"Friday, August 16, 2013 20:55:45 UTC",51.6329,-178.4255,2.7,11.10, 0,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j58a,5,"Friday, August 16, 2013 20:49:31 UTC",36.4690,71.3260,4.4,120.30,33,"Hindu Kush region, Afghanistan"
ak,10785784,2,"Friday, August 16, 2013 20:44:11 UTC",51.5822,-178.4226,2.9,8.20,10,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10784145,3,"Friday, August 16, 2013 20:43:33 UTC",51.5776,-178.4642,2.9,13.80, 8,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j595,7,"Friday, August 16, 2013 20:35:08 UTC",51.5980,-178.4435,2.9,11.00, 0,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j58w,8,"Friday, August 16, 2013 20:31:38 UTC",51.6239,-178.4159,3.4,7.60, 0,"Andreanof Islands, Aleutian Islands, Alaska"
us,b000j570,9,"Friday, August 16, 2013 20:25:45 UTC",51.7170,-178.3016,4.7,38.20,194,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10784098,2,"Friday, August 16, 2013 19:51:34 UTC",54.3497,-163.9248,3.2,73.00,26,"Unimak Island region, Alaska"
nc,72050586,8,"Friday, August 16, 2013 19:28:08 UTC",41.2577,-123.4602,2.9,33.50,23,"Northern California"
us,b000j56f,4,"Friday, August 16, 2013 19:22:23 UTC",0.4760,91.7146,4.2,16.60,30,"North Indian Ocean"
ak,10784075,3,"Friday, August 16, 2013 19:21:53 UTC",59.9217,-153.4502,2.5,122.80,56,"Southern Alaska"
us,b000j55g,5,"Friday, August 16, 2013 19:03:10 UTC",-15.0761,172.7223,4.8,60.10,54,"Vanuatu region"
us,b000j50f,5,"Friday, August 16, 2013 17:40:24 UTC",52.8807,-174.6187,4.3,218.80,73,"Andreanof Islands, Aleutian Islands, Alaska"
ci,11351586,2,"Friday, August 16, 2013 16:45:13 UTC",32.1460,-115.2417,3.1,13.70,12,"Baja California, Mexico"
us,b000j4wr,6,"Friday, August 16, 2013 15:44:49 UTC",-0.8880,121.5656,4.9,10.90,37,"Sulawesi, Indonesia"
us,b000j4wm,5,"Friday, August 16, 2013 15:33:01 UTC",16.7682,-98.3531,5.4,31.40,70,"Guerrero, Mexico"
us,b000j4w0,7,"Friday, August 16, 2013 14:47:02 UTC",-41.7518,174.2706,4.6,11.50,34,"Cook Strait, New Zealand"
ci,11351498,5,"Friday, August 16, 2013 14:40:25 UTC",35.4823,-118.2870,3.3,5.10,55,"Central California"
ak,10785749,2,"Friday, August 16, 2013 13:22:38 UTC",67.5694,-166.4977,3.0,29.60,12,"Bering Strait"
us,b000j4t4,6,"Friday, August 16, 2013 12:03:27 UTC",4.2524,126.8500,4.4,72.50,35,"Kepulauan Talaud, Indonesia"
ak,10782266,2,"Friday, August 16, 2013 12:01:25 UTC",55.7673,-160.8746,2.8,6.80,11,"Alaska Peninsula"
us,b000j4t1,7,"Friday, August 16, 2013 11:52:17 UTC",-7.6472,117.1811,5.0,297.50,72,"Bali Sea"
se,081613a,B,"Friday, August 16, 2013 11:02:21 UTC",38.8414,-80.9387,2.6,6.10, 9,"West Virginia"
us,b000j4rb,4,"Friday, August 16, 2013 09:06:14 UTC",4.9205,123.3059,4.4,553.90,49,"Celebes Sea"
pr,13228001,0,"Friday, August 16, 2013 08:44:24 UTC",18.4885,-66.7042,2.7,116.00,10,"Puerto Rico region"
